y,x
"2,51Е+00","0,00Е+00"
"2,04Е+00","5,00Е-02"
"1,67Е+00","1,00Е-01"
"1,37Е+00","1,50Е-01"
"1,12Е+00","2,00Е-01"
"9,27Е-01","2,50Е-01"
"7,68Е-01","3,00Е-01"
"6,39Е-01","3,50Е-01"
"5,34Е-01","4,00Е-01"
"4,48Е-01","4,50Е-01"
"3,78Е-01","5,00Е-01"
"3,20Е-01","5,50Е-01"
"2,72Е-01","6,00Е-01"
"2,33Е-01","6,50Е-01"
"2,00Е-01","7,00Е-01"
"1,72Е-01","7,50Е-01"
"1,49Е-01","8,00Е-01"
"1,30Е-01","8,50Е-01"
"1,14Е-01","9,00Е-01"
"1,00Е-01","9,50Е-01"
"8,83Е-02","1,00Е+00"
"7,83Е-02","1,05Е+00"
"6,98Е-02","1,10Е+00"
"6,24Е-02","1,15Е+00"
