X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,Y
"0,00Е+00","1,80Е-01","6,78Е-02","0,00Е+00","3,15Е-01","5,78Е-01","6,42Е-01","2,69Е-01","0,00Е+00","2,08Е-01","2,87Е-01","1,00Е+00","8,97Е-02","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","3,24Е-02","1,22Е-02","0,00Е+00","5,67Е-02","1,04Е-01","1,15Е-01","4,85Е-02","0,00Е+00","3,74Е-02","5,17Е-02","1,80Е-01","1,61Е-02","4,60Е-03","0,00Е+00","2,13Е-02","3,92Е-02","4,35Е-02","1,83Е-02","0,00Е+00","1,41Е-02","1,95Е-02","6,78Е-02","6,08Е-03","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","9,91Е-02","1,82Е-01","2,02Е-01","8,47Е-02","0,00Е+00","6,55Е-02","9,04Е-02","3,15Е-01","2,82Е-02","3,34Е-01","3,71Е-01","1,55Е-01","0,00Е+00","1,20Е-01","1,66Е-01","5,78Е-01","5,18Е-02","4,12Е-01","1,73Е-01","0,00Е+00","1,33Е-01","1,84Е-01","6,42Е-01","5,75Е-02","7,25Е-02","0,00Е+00","5,60Е-02","7,73Е-02","2,69Е-01","2,41Е-02","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","4,33Е-02","5,97Е-02","2,08Е-01","1,87Е-02","8,25Е-02","2,87Е-01","2,58Е-02","1,00Е+00","8,97Е-02","8,04Е-03","2,40Е+01"
"2,36Е-04","0,00Е+00","2,42Е-01","0,00Е+00","1,73Е-01","5,48Е-01","7,83Е-01","3,49Е-01","4,35Е-02","1,05Е-01","5,53Е-01","1,00Е+00","2,04Е-01","5,57Е-08","0,00Е+00","5,72Е-05","0,00Е+00","4,08Е-05","1,29Е-04","1,85Е-04","8,23Е-05","1,03Е-05","2,48Е-05","1,31Е-04","2,36Е-04","4,82Е-05","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","5,87Е-02","0,00Е+00","4,19Е-02","1,33Е-01","1,90Е-01","8,46Е-02","1,05Е-02","2,54Е-02","1,34Е-01","2,42Е-01","4,95Е-02","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","2,99Е-02","9,47Е-02","1,35Е-01","6,03Е-02","7,51Е-03","1,81Е-02","9,56Е-02","1,73Е-01","3,53Е-02","3,00Е-01","4,29Е-01","1,91Е-01","2,38Е-02","5,75Е-02","3,03Е-01","5,48Е-01","1,12Е-01","6,13Е-01","2,73Е-01","3,40Е-02","8,22Е-02","4,33Е-01","7,83Е-01","1,60Е-01","1,22Е-01","1,52Е-02","3,66Е-02","1,93Е-01","3,49Е-01","7,14Е-02","1,89Е-03","4,56Е-03","2,41Е-02","4,35Е-02","8,89Е-03","1,10Е-02","5,81Е-02","1,05Е-01","2,15Е-02","3,06Е-01","5,53Е-01","1,13Е-01","1,00Е+00","2,04Е-01","4,18Е-02","2,16Е+01"
"2,36Е-04","0,00Е+00","2,42Е-01","0,00Е+00","1,73Е-01","6,94Е-01","5,99Е-01","3,49Е-01","4,35Е-02","1,05Е-01","5,53Е-01","9,90Е-01","6,35Е-02","5,56Е-08","0,00Е+00","5,71Е-05","0,00Е+00","4,07Е-05","1,64Е-04","1,41Е-04","8,22Е-05","1,02Е-05","2,47Е-05","1,30Е-04","2,33Е-04","1,50Е-05","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","5,87Е-02","0,00Е+00","4,19Е-02","1,68Е-01","1,45Е-01","8,46Е-02","1,05Е-02","2,54Е-02","1,34Е-01","2,40Е-01","1,54Е-02","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","2,99Е-02","1,20Е-01","1,04Е-01","6,03Е-02","7,51Е-03","1,81Е-02","9,56Е-02","1,71Е-01","1,10Е-02","4,82Е-01","4,16Е-01","2,42Е-01","3,02Е-02","7,29Е-02","3,84Е-01","6,87Е-01","4,41Е-02","3,59Е-01","2,09Е-01","2,61Е-02","6,29Е-02","3,32Е-01","5,93Е-01","3,80Е-02","1,22Е-01","1,52Е-02","3,66Е-02","1,93Е-01","3,45Е-01","2,21Е-02","1,89Е-03","4,56Е-03","2,41Е-02","4,30Е-02","2,76Е-03","1,10Е-02","5,81Е-02","1,04Е-01","6,66Е-03","3,06Е-01","5,48Е-01","3,51Е-02","9,80Е-01","6,28Е-02","4,03Е-03","3,47Е+01"
"2,93Е-04","0,00Е+00","6,30Е-02","0,00Е+00","1,50Е-01","6,59Е-01","4,42Е-01","4,49Е-01","8,70Е-02","6,68Е-02","6,49Е-01","9,94Е-01","3,34Е-02","8,57Е-08","0,00Е+00","1,85Е-05","0,00Е+00","4,40Е-05","1,93Е-04","1,29Е-04","1,31Е-04","2,55Е-05","1,96Е-05","1,90Е-04","2,91Е-04","9,78Е-06","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","3,98Е-03","0,00Е+00","9,47Е-03","4,15Е-02","2,79Е-02","2,83Е-02","5,48Е-03","4,21Е-03","4,09Е-02","6,27Е-02","2,11Е-03","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","2,26Е-02","9,89Е-02","6,64Е-02","6,74Е-02","1,31Е-02","1,00Е-02","9,75Е-02","1,49Е-01","5,02Е-03","4,34Е-01","2,91Е-01","2,95Е-01","5,73Е-02","4,40Е-02","4,27Е-01","6,55Е-01","2,20Е-02","1,95Е-01","1,98Е-01","3,84Е-02","2,95Е-02","2,87Е-01","4,39Е-01","1,48Е-02","2,01Е-01","3,90Е-02","3,00Е-02","2,91Е-01","4,46Е-01","1,50Е-02","7,56Е-03","5,81Е-03","5,64Е-02","8,65Е-02","2,90Е-03","4,46Е-03","4,33Е-02","6,64Е-02","2,23Е-03","4,21Е-01","6,45Е-01","2,17Е-02","9,89Е-01","3,32Е-02","1,11Е-03","3,34Е+01"
"7,05Е-04","0,00Е+00","6,30Е-02","0,00Е+00","1,50Е-01","6,87Е-01","5,28Е-01","4,49Е-01","8,70Е-02","6,68Е-02","6,49Е-01","1,00Е+00","9,93Е-02","4,97Е-07","0,00Е+00","4,45Е-05","0,00Е+00","1,06Е-04","4,84Е-04","3,73Е-04","3,16Е-04","6,13Е-05","4,71Е-05","4,58Е-04","7,05Е-04","7,00Е-05","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","3,98Е-03","0,00Е+00","9,47Е-03","4,33Е-02","3,33Е-02","2,83Е-02","5,48Е-03","4,21Е-03","4,09Е-02","6,30Е-02","6,26Е-03","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","2,26Е-02","1,03Е-01","7,94Е-02","6,74Е-02","1,31Е-02","1,00Е-02","9,75Е-02","1,50Е-01","1,49Е-02","4,72Е-01","3,63Е-01","3,08Е-01","5,97Е-02","4,59Е-02","4,46Е-01","6,87Е-01","6,83Е-02","2,79Е-01","2,37Е-01","4,59Е-02","3,53Е-02","3,43Е-01","5,28Е-01","5,25Е-02","2,01Е-01","3,90Е-02","3,00Е-02","2,91Е-01","4,49Е-01","4,46Е-02","7,56Е-03","5,81Е-03","5,64Е-02","8,70Е-02","8,64Е-03","4,46Е-03","4,33Е-02","6,68Е-02","6,64Е-03","4,21Е-01","6,49Е-01","6,45Е-02","1,00Е+00","9,93Е-02","9,87Е-03","3,62Е+01"
"2,64Е-04","0,00Е+00","6,30Е-02","0,00Е+00","1,50Е-01","5,50Е-01","5,75Е-01","4,49Е-01","8,70Е-02","6,68Е-02","6,49Е-01","9,93Е-01","9,60Е-02","6,99Е-08","0,00Е+00","1,67Е-05","0,00Е+00","3,97Е-05","1,45Е-04","1,52Е-04","1,19Е-04","2,30Е-05","1,77Е-05","1,72Е-04","2,63Е-04","2,54Е-05","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","3,98Е-03","0,00Е+00","9,47Е-03","3,47Е-02","3,62Е-02","2,83Е-02","5,48Е-03","4,21Е-03","4,09Е-02","6,26Е-02","6,05Е-03","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","2,26Е-02","8,26Е-02","8,63Е-02","6,74Е-02","1,31Е-02","1,00Е-02","9,75Е-02","1,49Е-01","1,44Е-02","3,02Е-01","3,16Е-01","2,47Е-01","4,78Е-02","3,67Е-02","3,57Е-01","5,46Е-01","5,28Е-02","3,30Е-01","2,58Е-01","5,00Е-02","3,84Е-02","3,73Е-01","5,71Е-01","5,52Е-02","2,01Е-01","3,90Е-02","3,00Е-02","2,91Е-01","4,45Е-01","4,31Е-02","7,56Е-03","5,81Е-03","5,64Е-02","8,63Е-02","8,35Е-03","4,46Е-03","4,33Е-02","6,63Е-02","6,41Е-03","4,21Е-01","6,44Е-01","6,23Е-02","9,86Е-01","9,54Е-02","9,22Е-03","2,87Е+01"
"9,21Е-04","1,25Е-01","2,72Е-01","0,00Е+00","2,86Е-01","4,70Е-01","6,56Е-01","4,03Е-01","1,74Е-01","2,37Е-01","2,77Е-01","9,97Е-01","2,95Е-01","8,49Е-07","1,15Е-04","2,50Е-04","0,00Е+00","2,64Е-04","4,33Е-04","6,04Е-04","3,71Е-04","1,60Е-04","2,18Е-04","2,55Е-04","9,18Е-04","2,72Е-04","1,56Е-02","3,40Е-02","0,00Е+00","3,58Е-02","5,87Е-02","8,20Е-02","5,04Е-02","2,17Е-02","2,96Е-02","3,46Е-02","1,25Е-01","3,69Е-02","7,38Е-02","0,00Е+00","7,77Е-02","1,28Е-01","1,78Е-01","1,09Е-01","4,72Е-02","6,43Е-02","7,51Е-02","2,71Е-01","8,02Е-02","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","8,18Е-02","1,34Е-01","1,88Е-01","1,15Е-01","4,97Е-02","6,77Е-02","7,91Е-02","2,85Е-01","8,44Е-02","2,21Е-01","3,08Е-01","1,89Е-01","8,17Е-02","1,11Е-01","1,30Е-01","4,68Е-01","1,39Е-01","4,30Е-01","2,64Е-01","1,14Е-01","1,55Е-01","1,81Е-01","6,54Е-01","1,94Е-01","1,62Е-01","7,01Е-02","9,53Е-02","1,11Е-01","4,02Е-01","1,19Е-01","3,02Е-02","4,12Е-02","4,81Е-02","1,73Е-01","5,13Е-02","5,60Е-02","6,55Е-02","2,36Е-01","6,99Е-02","7,65Е-02","2,76Е-01","8,17Е-02","9,93Е-01","2,94Е-01","8,72Е-02","2,29Е+01"
"1,55Е-03","1,25Е-01","2,72Е-01","0,00Е+00","2,86Е-01","5,00Е-01","9,60Е-01","4,38Е-01","1,74Е-01","2,37Е-01","2,77Е-01","1,00Е+00","4,81Е-01","2,41Е-06","1,94Е-04","4,22Е-04","0,00Е+00","4,44Е-04","7,77Е-04","1,49Е-03","6,81Е-04","2,70Е-04","3,68Е-04","4,30Е-04","1,55Е-03","7,47Е-04","1,56Е-02","3,40Е-02","0,00Е+00","3,58Е-02","6,25Е-02","1,20Е-01","5,48Е-02","2,17Е-02","2,96Е-02","3,46Е-02","1,25Е-01","6,01Е-02","7,38Е-02","0,00Е+00","7,77Е-02","1,36Е-01","2,61Е-01","1,19Е-01","4,72Е-02","6,43Е-02","7,51Е-02","2,72Е-01","1,31Е-01","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","8,18Е-02","1,43Е-01","2,75Е-01","1,25Е-01","4,97Е-02","6,77Е-02","7,91Е-02","2,86Е-01","1,37Е-01","2,50Е-01","4,80Е-01","2,19Е-01","8,70Е-02","1,18Е-01","1,38Е-01","5,00Е-01","2,40Е-01","9,21Е-01","4,21Е-01","1,67Е-01","2,27Е-01","2,65Е-01","9,60Е-01","4,61Е-01","1,92Е-01","7,62Е-02","1,04Е-01","1,21Е-01","4,38Е-01","2,11Е-01","3,02Е-02","4,12Е-02","4,81Е-02","1,74Е-01","8,36Е-02","5,60Е-02","6,55Е-02","2,37Е-01","1,14Е-01","7,65Е-02","2,77Е-01","1,33Е-01","1,00Е+00","4,81Е-01","2,31Е-01","2,71Е+01"
"2,30Е-03","1,25Е-01","2,72Е-01","0,00Е+00","2,86Е-01","3,97Е-01","1,00Е+00","4,50Е-01","1,74Е-01","2,37Е-01","2,77Е-01","9,74Е-01","7,78Е-01","5,30Е-06","2,88Е-04","6,26Е-04","0,00Е+00","6,59Е-04","9,14Е-04","2,30Е-03","1,04Е-03","4,01Е-04","5,45Е-04","6,37Е-04","2,24Е-03","1,79Е-03","1,56Е-02","3,40Е-02","0,00Е+00","3,58Е-02","4,96Е-02","1,25Е-01","5,63Е-02","2,17Е-02","2,96Е-02","3,46Е-02","1,22Е-01","9,73Е-02","7,38Е-02","0,00Е+00","7,77Е-02","1,08Е-01","2,72Е-01","1,22Е-01","4,72Е-02","6,43Е-02","7,51Е-02","2,65Е-01","2,11Е-01","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","8,18Е-02","1,13Е-01","2,86Е-01","1,29Е-01","4,97Е-02","6,77Е-02","7,91Е-02","2,79Е-01","2,23Е-01","1,57Е-01","3,97Е-01","1,79Е-01","6,90Е-02","9,39Е-02","1,10Е-01","3,86Е-01","3,09Е-01","1,00Е+00","4,50Е-01","1,74Е-01","2,37Е-01","2,77Е-01","9,74Е-01","7,78Е-01","2,03Е-01","7,83Е-02","1,07Е-01","1,25Е-01","4,39Е-01","3,50Е-01","3,02Е-02","4,12Е-02","4,81Е-02","1,69Е-01","1,35Е-01","5,60Е-02","6,55Е-02","2,31Е-01","1,84Е-01","7,65Е-02","2,69Е-01","2,15Е-01","9,49Е-01","7,58Е-01","6,06Е-01","1,65Е+01"
"1,84Е-03","1,25Е-01","2,72Е-01","0,00Е+00","2,86Е-01","4,68Е-01","8,55Е-01","4,97Е-01","1,74Е-01","2,37Е-01","2,77Е-01","9,74Е-01","4,24Е-01","3,39Е-06","2,30Е-04","5,00Е-04","0,00Е+00","5,26Е-04","8,61Е-04","1,57Е-03","9,14Е-04","3,20Е-04","4,35Е-04","5,09Е-04","1,79Е-03","7,80Е-04","1,56Е-02","3,40Е-02","0,00Е+00","3,58Е-02","5,85Е-02","1,07Е-01","6,21Е-02","2,17Е-02","2,96Е-02","3,46Е-02","1,22Е-01","5,30Е-02","7,38Е-02","0,00Е+00","7,77Е-02","1,27Е-01","2,32Е-01","1,35Е-01","4,72Е-02","6,43Е-02","7,51Е-02","2,65Е-01","1,15Е-01","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","0,00Е+00","8,18Е-02","1,34Е-01","2,44Е-01","1,42Е-01","4,97Е-02","6,77Е-02","7,91Е-02","2,79Е-01","1,21Е-01","2,19Е-01","4,00Е-01","2,33Е-01","8,14Е-02","1,11Е-01","1,29Е-01","4,56Е-01","1,99Е-01","7,31Е-01","4,25Е-01","1,49Е-01","2,02Е-01","2,36Е-01","8,33Е-01","3,63Е-01","2,47Е-01","8,64Е-02","1,18Е-01","1,37Е-01","4,84Е-01","2,11Е-01","3,02Е-02","4,12Е-02","4,81Е-02","1,69Е-01","7,38Е-02","5,60Е-02","6,55Е-02","2,31Е-01","1,00Е-01","7,65Е-02","2,69Е-01","1,17Е-01","9,49Е-01","4,13Е-01","1,80Е-01","1,89Е+01"
